time_step,acceleration
1.512,0.008284
1.514,0.009693
1.516,0.010622
1.518,0.010887
1.52,0.010647
1.522,0.009734
1.524,0.008177
1.526,0.006158
1.528,0.00382
1.53,0.001327
1.532,-0.001323
1.534,-0.003736
1.536,-0.005877
1.538,-0.007566
1.54,-0.008808
1.542,-0.009307
1.544,-0.009199
1.546,-0.008602
1.548,-0.007292
1.55,-0.005422
1.552,-0.003196
1.554,-0.000811
1.556,0.001675
1.558,0.004228
1.56,0.006455
1.562,0.008341
1.564,0.009778
1.566,0.010647
1.568,0.010944
1.57,0.010669
1.572,0.009601
1.574,0.008066
1.576,0.00605
1.578,0.003738
1.58,0.001267
1.582,-0.001335
1.584,-0.003818
1.586,-0.005949
1.588,-0.007709
1.59,-0.008855
1.592,-0.009398
1.594,-0.009297
1.596,-0.008555
1.598,-0.007127
1.6,-0.005321
1.602,-0.003132
1.604,-0.000754
1.606,0.001842
1.608,0.004332
1.61,0.006515
1.612,0.008369
1.614,0.00981
1.616,0.010748
1.618,0.011055
1.62,0.010593
1.622,0.00956
1.624,0.008053
1.626,0.005975
1.628,0.003605
1.63,0.00109
1.632,-0.001544
1.634,-0.003963
1.636,-0.006129
1.638,-0.007658
1.64,-0.008864
1.642,-0.009341
1.644,-0.00924
1.646,-0.008454
1.648,-0.007115
1.65,-0.005248
1.652,-0.003079
1.654,-0.000609
1.656,0.001861
1.658,0.004357
1.66,0.006695
1.662,0.008474
1.664,0.00987
1.666,0.010736
1.668,0.010998
1.67,0.010473
1.672,0.009469
1.674,0.007905
1.676,0.005848
1.678,0.003567
1.68,0.001065
1.682,-0.001544
1.684,-0.004036
1.686,-0.006073
1.688,-0.007765
1.69,-0.008984
1.692,-0.009423
1.694,-0.009269
1.696,-0.008403
1.698,-0.007026
1.7,-0.005109
1.702,-0.002918
1.704,-0.000486
1.706,0.002007
1.708,0.00449
1.71,0.006739
1.712,0.008524
1.714,0.009968
1.716,0.010755
1.718,0.010969
1.72,0.01053
1.722,0.009507
1.724,0.007877
1.726,0.005747
1.728,0.003422
1.73,0.000806
1.732,-0.00174
1.734,-0.004083
1.736,-0.006259
1.738,-0.007885
1.74,-0.008871
1.742,-0.009417
1.744,-0.009171
1.746,-0.008312
1.748,-0.006913
1.75,-0.004977
1.752,-0.002892
1.754,-0.000445
1.756,0.00219
1.758,0.004676
1.76,0.006828
1.762,0.008609
1.764,0.00993
1.766,0.01077
1.768,0.010932
1.77,0.010515
1.772,0.009352
1.774,0.007725
1.776,0.005731
1.778,0.003273
1.78,0.000787
1.782,-0.001797
1.784,-0.004285
1.786,-0.006272
1.788,-0.007901
1.79,-0.008972
1.792,-0.009379
1.794,-0.009212
1.796,-0.008309
1.798,-0.006827
1.8,-0.004958
1.802,-0.002766
1.804,-0.000173
1.806,0.002281
1.808,0.004632
1.81,0.006888
1.812,0.008717
1.814,0.010053
1.816,0.010764
1.818,0.010932
1.82,0.010521
1.822,0.009333
1.824,0.007712
1.826,0.005605
1.828,0.003213
1.83,0.000692
1.832,-0.001942
1.834,-0.004336
1.836,-0.006448
1.838,-0.007949
1.84,-0.009035
1.842,-0.009411
1.844,-0.00918
1.846,-0.008252
1.848,-0.006767
1.85,-0.004926
1.852,-0.002586
1.854,-0.000199
1.856,0.002386
1.858,0.004885
1.86,0.006922
1.862,0.008856
1.864,0.010094
1.866,0.010796
1.868,0.010944
1.87,0.010423
1.872,0.009279
1.874,0.007576
1.876,0.005507
1.878,0.003084
1.88,0.000528
1.882,-0.00203
1.884,-0.004393
1.886,-0.006502
1.888,-0.008027
1.89,-0.009111
1.892,-0.009414
1.894,-0.009139
1.896,-0.00829
1.898,-0.006733
1.9,-0.004781
1.902,-0.002548
1.904,-0.000041
1.906,0.002458
1.908,0.0049
1.91,0.007112
1.912,0.00884
1.914,0.010063
1.916,0.010796
1.918,0.01096
1.92,0.010347
1.922,0.0092
1.924,0.007529
1.926,0.005368
1.928,0.002992
1.93,0.00037
1.932,-0.002166
1.934,-0.00456
1.936,-0.006534
1.938,-0.007999
1.94,-0.009025
1.942,-0.009458
1.944,-0.009085
1.946,-0.008192
1.948,-0.006676
1.95,-0.004696
1.952,-0.002438
1.954,0.000064
1.956,0.002578
1.958,0.004995
1.96,0.007175
1.962,0.008894
1.964,0.010205
1.966,0.010853
1.968,0.010856
1.97,0.010391
1.972,0.00909
1.974,0.007428
1.976,0.005242
1.978,0.002945
1.98,0.000307
1.982,-0.002232
1.984,-0.004604
1.986,-0.006647
1.988,-0.008264
1.99,-0.009067
1.992,-0.009468
1.994,-0.009092
1.996,-0.008132
1.998,-0.006584
2,-0.004531
2.002,-0.002283
2.004,0.000155
2.006,0.002702
2.008,0.005084
2.01,0.007207
2.012,0.00897
2.014,0.010167
2.016,0.010881
2.018,0.010932
2.02,0.010353
2.022,0.009121
2.024,0.007349
2.026,0.005172
2.028,0.002711
2.03,0.000177
2.032,-0.002441
2.034,-0.004749
2.036,-0.006688
2.038,-0.008185
2.04,-0.009073
2.042,-0.009344
2.044,-0.009019
2.046,-0.008065
2.048,-0.006543
2.05,-0.004544
2.052,-0.002204
2.054,0.000288
2.056,0.002815
2.058,0.005226
2.06,0.007377
2.062,0.00897
2.064,0.010284
2.066,0.010843
2.068,0.010872
2.07,0.01023
2.072,0.00902
2.074,0.007283
2.076,0.005055
2.078,0.002676
2.08,0.00012
2.082,-0.002447
2.084,-0.00479
2.086,-0.006818
2.088,-0.008268
2.09,-0.009155
2.092,-0.009423
2.094,-0.009073
2.096,-0.008081
2.098,-0.006366
2.1,-0.004405
2.102,-0.00204
2.104,0.000449
2.106,0.002961
2.108,0.005362
2.11,0.007374
2.112,0.009039
2.114,0.01024
2.116,0.010928
2.118,0.01089
2.12,0.010176
2.122,0.008957
2.124,0.007159
2.126,0.004954
2.128,0.002525
2.13,-0.000047
2.132,-0.00264
2.134,-0.004923
2.136,-0.006884
2.138,-0.008264
2.14,-0.009136
2.142,-0.009379
2.144,-0.008921
2.146,-0.008027
2.148,-0.006363
2.15,-0.004314
2.152,-0.001999
2.154,0.000487
2.156,0.002983
2.158,0.005438
2.16,0.007567
2.162,0.009128
2.164,0.010347
2.166,0.010941
2.168,0.010862
2.17,0.010195
2.172,0.008887
2.174,0.007109
2.176,0.004844
2.178,0.002468
2.18,-0.000129
2.182,-0.002681
2.184,-0.00498
2.186,-0.006938
2.188,-0.008362
2.19,-0.009155
2.192,-0.009414
2.194,-0.008962
2.196,-0.007857
2.198,-0.006259
2.2,-0.004187
2.202,-0.001891
2.204,0.000635
2.206,0.003172
2.208,0.005494
2.21,0.00758
2.212,0.009169
2.214,0.010353
2.216,0.010922
2.218,0.0109
2.22,0.010176
2.222,0.008837
2.224,0.007011
2.226,0.004758
2.228,0.002395
2.23,-0.000319
2.232,-0.002804
2.234,-0.005078
2.236,-0.007077
2.238,-0.0084
2.24,-0.009152
2.242,-0.00937
2.244,-0.008931
2.246,-0.007816
2.248,-0.006174
2.25,-0.00408
2.252,-0.001822
2.254,0.000756
2.256,0.003242
2.258,0.005627
2.26,0.007734
2.262,0.009314
2.264,0.010454
2.266,0.010862
2.268,0.010811
2.27,0.010063
2.272,0.008739
2.274,0.006913
2.276,0.004641
2.278,0.002199
2.28,-0.000369
2.282,-0.002851
2.284,-0.005173
2.286,-0.007093
2.288,-0.00853
2.29,-0.009275
2.292,-0.009385
2.294,-0.008928
2.296,-0.007816
2.298,-0.006123
2.3,-0.004064
2.302,-0.001582
2.304,0.000825
2.306,0.003242
2.308,0.005637
2.31,0.00769
2.312,0.009377
2.314,0.010391
2.316,0.010925
2.318,0.010906
2.32,0.010063
2.322,0.00873
2.324,0.006831
2.326,0.00449
2.328,0.002063
2.33,-0.000505
2.332,-0.003057
2.334,-0.00527
2.336,-0.007216
2.338,-0.008498
2.34,-0.00925
2.342,-0.009338
2.344,-0.008874
2.346,-0.00774
2.348,-0.006069
2.35,-0.003938
2.352,-0.001572
2.354,0.000898
2.356,0.003476
2.358,0.005795
2.36,0.007801
2.362,0.009346
2.364,0.010483
2.366,0.010973
2.368,0.010808
2.37,0.009962
2.372,0.008572
2.374,0.006742
2.376,0.004518
2.378,0.001994
2.38,-0.000609
2.382,-0.003082
2.384,-0.005346
2.386,-0.007168
2.388,-0.008552
2.39,-0.009329
2.392,-0.009392
2.394,-0.008845
2.396,-0.007686
2.398,-0.00588
2.4,-0.003827
2.402,-0.001373
2.404,0.001068
2.406,0.003558
2.408,0.005886
2.41,0.007839
2.412,0.009472
2.414,0.010499
2.416,0.01089
2.418,0.010799
2.42,0.010015
2.422,0.008584
2.424,0.006622
2.426,0.004338
2.428,0.001861
2.43,-0.000713
2.432,-0.003218
2.434,-0.005498
2.436,-0.007266
2.438,-0.008526
2.44,-0.009294
2.442,-0.009322
2.444,-0.008779
2.446,-0.007611
2.448,-0.005893
2.45,-0.003729
2.452,-0.001348
2.454,0.001185
2.456,0.00363
2.458,0.00599
2.46,0.007949
2.462,0.009523
2.464,0.010511
2.466,0.010992
2.468,0.010758
2.47,0.009854
2.472,0.008486
2.474,0.006493
2.476,0.004221
2.478,0.001754
2.48,-0.000795
2.482,-0.003256
2.484,-0.005533
2.486,-0.007317
2.488,-0.008605
2.49,-0.009297
2.492,-0.009348
2.494,-0.008785
2.496,-0.007529
2.498,-0.00575
2.5,-0.003559
2.502,-0.001168
2.504,0.001289
2.506,0.003747
2.508,0.006104
2.51,0.008069
2.512,0.009614
2.514,0.010537
2.516,0.010932
2.518,0.010777
2.52,0.009845
2.522,0.008385
2.524,0.006502
2.526,0.004171
2.528,0.001599
2.53,-0.000947
2.532,-0.003388
2.534,-0.005599
2.536,-0.007478
2.538,-0.008646
2.54,-0.009319
2.542,-0.009275
2.544,-0.008688
2.546,-0.007415
2.548,-0.005713
2.55,-0.003578
2.552,-0.001102
2.554,0.001387
2.556,0.003899
2.558,0.006202
2.56,0.008148
2.562,0.009652
2.564,0.010641
2.566,0.010932
2.568,0.010638
2.57,0.009744
2.572,0.008297
2.574,0.006303
2.576,0.00395
2.578,0.001548
2.58,-0.001029
2.582,-0.003584
2.584,-0.005738
2.586,-0.007453
2.588,-0.008729
2.59,-0.00931
2.592,-0.009259
2.594,-0.008706
2.596,-0.00732
2.598,-0.005545
2.6,-0.00342
2.602,-0.001026
2.604,0.001507
2.606,0.004025
2.608,0.006306
2.61,0.008297
2.612,0.009649
2.614,0.010625
2.616,0.010982
2.618,0.010676
2.62,0.009772
2.622,0.008189
2.624,0.006291
2.626,0.003927
2.628,0.001353
2.63,-0.001203
2.632,-0.003631
2.634,-0.005826
2.636,-0.007592
2.638,-0.008782
2.64,-0.009329
2.642,-0.009284
2.644,-0.008568
2.646,-0.007323
2.648,-0.005567
2.65,-0.0033
2.652,-0.000871
2.654,0.001577
2.656,0.004092
2.658,0.006366
2.66,0.008357
2.662,0.009816
2.664,0.010695
2.666,0.010922
2.668,0.010641
2.67,0.009722
2.672,0.008113
2.674,0.006158
2.676,0.003795
2.678,0.001277
2.68,-0.001285
2.682,-0.003704
2.684,-0.005867
2.686,-0.00763
2.688,-0.008852
2.69,-0.009411
2.692,-0.009335
2.694,-0.00859
2.696,-0.007317
2.698,-0.005375
2.7,-0.003205
2.702,-0.000805
2.704,0.001716
2.706,0.004199
2.708,0.006449
2.71,0.008325
2.712,0.009791
2.714,0.010685
2.716,0.011001
